idsubsls_261,kdprov,nmprov,kdkab,nmkab,kdkec,nmkec,kddesa,nmdesa,nmsls,kk,btt,bttk,bku,bbtt_nonusaha,usaha,idsls
5104010001001611,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001612,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010001001613,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARTUBUH,0,0,0,0,0,0,51040100010016
5104010002000101,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,1,51040100020001
5104010002000102,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,0,51040100020001
5104010002000103,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,1,51040100020001
5104010002000104,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,11,51040100020001
5104010002000105,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,0,51040100020001
5104010002000106,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,0,51040100020001
5104010002000107,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,0,51040100020001
5104010002000108,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,3,51040100020001
5104010002000109,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,0,51040100020001
5104010002000110,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBATUAJI,0,0,0,0,0,0,51040100020001
5104010002000201,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBUDAIRENG,0,0,0,0,0,1,51040100020002
5104010002000202,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBUDAIRENG,0,0,0,0,0,1,51040100020002
5104010002000203,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBUDAIRENG,0,0,0,0,0,1,51040100020002
5104010002000204,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARBUDAIRENG,0,0,0,0,0,18,51040100020002
5104010002000300,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARDAJANRURUNG,0,0,0,0,0,7,51040100020003
5104010002000401,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARDLODRURUNG,0,0,0,0,0,0,51040100020004
5104010002000402,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARDLODRURUNG,0,0,0,0,0,2,51040100020004
5104010002000403,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARDLODRURUNG,0,0,0,0,0,0,51040100020004
5104010002000404,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARDLODRURUNG,0,0,0,0,0,3,51040100020004
5104010002000405,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARDLODRURUNG,0,0,0,0,0,2,51040100020004
5104010002000406,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARDLODRURUNG,0,0,0,0,0,3,51040100020004
5104010002000501,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARKENANGA,0,0,0,0,0,0,51040100020005
5104010002000502,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARKENANGA,0,0,0,0,0,9,51040100020005
5104010002000503,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARKENANGA,0,0,0,0,0,0,51040100020005
5104010002000600,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARMULA,0,0,0,0,0,7,51040100020006
5104010002000701,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARPUSEH,0,0,0,0,0,22,51040100020007
5104010002000702,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARPUSEH,0,0,0,0,0,4,51040100020007
5104010002000703,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARPUSEH,0,0,0,0,0,3,51040100020007
5104010002000704,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARPUSEH,0,0,0,0,0,8,51040100020007
5104010002000801,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTAMPAD,0,0,0,0,0,2,51040100020008
5104010002000802,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTAMPAD,0,0,0,0,0,3,51040100020008
5104010002000803,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTAMPAD,0,0,0,0,0,0,51040100020008
5104010002000901,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTANGKEBAN,0,0,0,0,0,0,51040100020009
5104010002000902,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTANGKEBAN,0,0,0,0,0,7,51040100020009
5104010002000903,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTANGKEBAN,0,0,0,0,0,3,51040100020009
5104010002000904,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTANGKEBAN,0,0,0,0,0,6,51040100020009
5104010002000905,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTANGKEBAN,0,0,0,0,0,1,51040100020009
5104010002000906,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTANGKEBAN,0,0,0,0,0,3,51040100020009
5104010002000907,51,BALI,04,GIANYAR,010,SUKAWATI,002,BATUBULANKANGIN,BANJARTANGKEBAN,0,0,0,0,0,2,51040100020009
5104010003000101,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARAKTA,0,0,0,0,0,0,51040100030001
5104010003000102,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARAKTA,0,0,0,0,0,0,51040100030001
5104010003000103,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARAKTA,0,0,0,0,0,0,51040100030001
5104010003000201,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARGUMICIK,0,0,0,0,0,0,51040100030002
5104010003000202,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARGUMICIK,0,0,0,0,0,0,51040100030002
5104010003000203,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARGUMICIK,0,0,0,0,0,0,51040100030002
5104010003000204,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARGUMICIK,0,0,0,0,0,0,51040100030002
5104010003000205,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARGUMICIK,0,0,0,0,0,0,51040100030002
5104010003000301,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARJAYAKERTA,0,0,0,0,0,0,51040100030003
5104010003000302,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARJAYAKERTA,0,0,0,0,0,0,51040100030003
5104010003000401,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARKACAGAN,0,0,0,0,0,0,51040100030004
5104010003000402,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARKACAGAN,0,0,0,0,0,0,51040100030004
5104010003000501,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARKEDEN,0,0,0,0,0,6,51040100030005
5104010003000502,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARKEDEN,0,0,0,0,0,0,51040100030005
5104010003000601,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARKUBUR,0,0,0,0,0,9,51040100030006
5104010003000602,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARKUBUR,0,0,0,0,0,11,51040100030006
5104010003000603,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARKUBUR,0,0,0,0,0,0,51040100030006
5104010003000701,51,BALI,04,GIANYAR,010,SUKAWATI,003,KETEWEL,BANJARKUCUPIN,0,0,0,0,0,0,51040100030007
